,Basis,HP,Momentum,Skewness,Basis-Mom
11/30/2001,0.052437234,0.032665902,-0.029573501,-0.043208285,0.127680036
12/31/2001,-0.006119072,-0.012981743,0.025315438,0.034985589,-0.007366522
1/31/2002,-0.016572166,0.043874753,-0.001179433,-0.012091963,0.013471245
2/28/2002,0.014200835,0.022881732,0.041910025,-0.006319098,0.003672867
3/29/2002,-0.013356921,-0.079414164,-0.013615005,0.006469455,-0.009464728
4/30/2002,0.030235306,-0.021217934,0.002065824,-0.008189756,0.001557117
5/31/2002,0.076445673,0.057784097,0.062012734,-0.021115864,0.082545163
6/28/2002,0.026533851,0.015575541,-0.019375522,0.016368606,0.002609556
7/31/2002,0.043363971,0.006610328,-0.025428314,0.000963304,0.024684046
8/30/2002,-0.08323125,0.037948286,0.007718419,-0.074683984,0.073595612
9/30/2002,-0.041201921,-0.017915679,-0.020601299,0.029935499,-0.061503106
10/31/2002,-0.001936903,-0.027665981,-0.005178013,-0.00304158,0.031840265
11/29/2002,-0.02243087,-0.015773532,-0.011112483,0.011212695,-0.021333883
12/31/2002,0.055917025,0.039457763,0.010240449,0.012282016,-0.002407553
1/31/2003,1.80E-05,0.014230218,-0.016852357,0.007267939,0.024455386
2/28/2003,0.076044386,0.081695164,0.003016168,0.018084623,0.007688488
3/31/2003,-0.066528172,-0.027380166,0.015880028,0.006669791,-0.055178785
4/30/2003,-0.063785451,-0.006559845,-0.003636398,-0.017629901,0.001245071
5/30/2003,0.010862776,-0.022396803,-0.001756884,0.024295264,0.012209525
6/30/2003,-0.006149592,-0.040891317,-0.01594624,0.003849397,-0.01468922
7/31/2003,0.002701517,-0.015406818,0.040618561,0.02806906,-0.025916218
8/29/2003,0.035709823,-0.034971616,-0.040504883,0.010113429,0.004007337
9/30/2003,-0.008676496,-0.010031025,0.026474239,0.007792614,-0.029959329
10/31/2003,0.008949534,0.043104018,0.031159735,-0.01469157,-0.016537051
11/28/2003,0.02641733,0.020073179,0.007811802,-0.004188643,0.010458761
12/31/2003,0.161330334,0.053837946,0.042418642,0.033607723,0.109676102
1/30/2004,-3.12E-05,-0.014458849,-0.001049761,0.019478353,0.00398599
2/27/2004,0.025294881,0.040622194,0.004803054,-0.015575302,0.007613481
3/31/2004,0.004013067,0.00737269,0.014696741,-0.006249402,-0.015082284
4/30/2004,0.032448236,-0.000593523,-0.056616112,0.031209318,-0.016721049
5/31/2004,-0.017662966,-0.030858708,-0.035857198,0.027856193,-0.004767261
6/30/2004,0.042200778,-0.012017482,-0.023644505,0.039041678,-0.030353431
7/30/2004,-0.068290131,-0.026492274,0.008758822,0.0014026,-0.045146558
8/31/2004,-0.032573099,-0.052476852,0.032786535,0.00465263,0.035466313
9/30/2004,-0.053973798,0.021665053,-0.023220075,-0.018964946,-0.035512084
10/29/2004,-0.015711035,0.012811579,-0.013578279,0.005512105,0.000606722
11/30/2004,0.069695933,-0.010657926,0.022518824,-0.008871708,0.035816858
12/31/2004,0.0291017,-0.024657361,-8.34E-06,-0.000479218,0.043889555
1/31/2005,0.023068623,0.027740999,0.000549552,-0.004419217,-0.017178197
2/28/2005,0.00544123,-0.054886261,-0.029654414,0.004208652,0.007802402
3/31/2005,-0.01518187,0.012809433,-0.003616739,-0.016940722,-0.012526172
4/29/2005,-0.025454559,-0.014986657,-0.015815185,-0.01007695,0.025551036
5/31/2005,0.003645414,0.004745888,-0.003735478,-0.002903077,-0.006993894
6/30/2005,-0.046027646,0.015964249,-0.006487004,-0.01215779,-0.008282974
7/29/2005,0.031554701,-0.051907487,-0.002052074,0.016834504,-0.024682887
8/31/2005,0.150993014,0.05941686,-0.025998311,0.042183901,-0.100426592
9/30/2005,0.015006242,-0.015465944,0.019547521,-0.009555354,0.006223081
10/31/2005,-0.002019251,-0.045942878,0.043510343,0.021098419,0.020215728
11/30/2005,0.034278527,0.008600717,0.045720676,0.020138762,0.026516055
12/30/2005,0.040687315,-0.042973415,0.015445971,0.043969099,-0.056491327
1/31/2006,0.019930368,0.00038981,0.055496738,0.040167615,-0.042580896
2/28/2006,-0.001617518,-0.04215797,-0.014958778,0.005838822,0.041881651
3/31/2006,-0.019591837,0.047103757,0.040270547,-0.008831208,-0.020812807
4/28/2006,0.019021108,0.051831857,0.029844814,-0.011457336,0.034867689
5/31/2006,0.020427445,0.004104096,-0.01362911,-0.012484282,0.01355985
6/30/2006,0.061702839,-0.009417669,-0.025482268,0.006933233,0.036161801
7/31/2006,-0.036838167,-0.023285441,0.003371418,-0.043072395,-0.009095754
8/31/2006,-0.089103827,0.068867309,0.020181341,0.056521079,0.06299347
9/29/2006,0.063753652,0.103486654,0.001093954,-0.032407947,0.100057708
10/31/2006,-0.014103443,0.00431338,-0.002860637,-0.027504196,0.006531809
11/30/2006,-0.005439147,-0.016916553,0.019474019,0.003614132,-0.001428658
12/29/2006,0.017727954,0.081754075,0.009832372,-0.014891332,0.068733971
1/31/2007,-0.045766195,-0.04034758,0.00592665,-0.020259843,-0.030493329
2/28/2007,-0.009625678,0.01332273,-0.003583401,-0.005324576,0.015943618
3/30/2007,0.013975277,-0.018760891,-0.005954383,0.008885095,0.011318105
4/30/2007,0.019049551,-0.010245594,-0.00315984,0.007124485,0.010663104
5/31/2007,-0.031038143,-0.004946662,-0.012526386,-0.000950125,0.019117056
6/29/2007,0.032111933,0.010074545,-0.023214211,0.023006827,0.0076296
7/31/2007,-0.00061527,0.010321199,-0.004182459,-0.006469206,0.001896145
8/31/2007,-0.021269618,0.058087425,-0.009605906,-0.008425411,0.006856795
9/28/2007,0.016471871,0.039012113,0.028206994,0.015187616,0.045988241
10/31/2007,0.03627222,0.006450577,0.032029817,0.042634071,0.082323623
11/30/2007,0.005420731,0.018697488,0.004352979,-0.017360736,-0.006041413
12/31/2007,0.023874604,0.02430887,0.033004822,0.009535617,0.016576209
